age,job,marital,education,balance,contact,day,month,duration,campaign,previous,poutcome,housing_new,loan_new,y_new
25,7,0,1,594,0,4,5,89,2,0,2,0,0,1
33,6,0,2,235,0,18,4,525,1,0,2,1,0,1
40,0,1,2,66,0,13,7,737,4,0,2,0,0,1
48,3,1,0,476,0,11,7,856,3,0,2,0,0,1
28,3,0,1,-46,0,1,8,199,1,14,1,1,0,1
34,7,0,1,267,0,8,6,449,2,0,2,0,0,1
29,0,0,2,697,0,30,3,365,1,1,1,0,0,1
36,6,1,1,1031,0,17,5,282,4,0,2,0,0,1
36,6,0,1,728,0,30,3,230,1,0,2,0,0,1
40,1,0,3,3652,2,14,4,1028,2,0,2,1,0,1
41,1,0,3,5372,0,13,0,248,3,0,2,1,0,1
61,5,2,0,3624,0,25,10,342,1,0,2,0,0,1
57,5,1,1,466,0,5,7,641,2,0,2,0,0,1
31,0,2,2,373,0,10,1,132,6,0,2,0,0,1
38,7,2,3,6360,2,20,5,1409,2,0,2,0,0,1
31,0,1,2,1331,0,30,3,297,1,3,1,0,0,1
27,11,0,1,2614,0,8,3,143,2,0,2,0,0,1
24,11,0,1,3176,0,13,0,108,2,0,2,0,0,1
29,11,0,1,1779,0,4,5,400,1,0,2,0,0,1
58,0,2,1,3161,1,30,6,542,2,0,2,0,0,1
36,1,0,2,197,0,30,3,260,1,0,2,0,0,1
49,0,1,2,1050,0,18,10,924,1,0,2,1,0,1
65,0,2,2,90,0,22,3,416,1,0,2,1,0,1
36,1,1,1,368,2,6,4,1597,2,0,2,1,1,1
26,0,0,2,1623,0,2,5,479,1,0,2,0,0,1
54,4,1,1,2206,0,11,1,449,1,3,1,0,0,1
33,0,0,2,318,0,8,3,1190,1,3,3,1,0,1
33,0,1,2,0,0,17,3,378,1,0,2,1,0,1
35,1,0,1,1227,0,30,6,1005,5,10,1,0,0,1
49,7,1,1,2416,0,16,3,1366,1,0,2,1,0,1
33,3,1,1,0,0,29,6,454,6,0,2,0,0,1
30,3,1,1,2493,0,28,0,293,2,0,2,0,0,1
34,1,2,1,1451,2,30,4,1097,15,0,2,1,0,1
35,1,0,2,670,0,13,9,301,2,0,2,0,0,1
55,6,2,1,1872,0,28,7,155,2,8,0,0,0,1
28,1,0,1,313,0,9,1,1183,2,0,2,0,0,1
53,10,1,0,2581,0,21,9,828,1,1,0,0,0,1
39,0,1,2,481,0,7,11,929,5,1,3,0,0,1
24,6,0,2,-61,0,11,2,95,4,0,2,0,0,1
33,0,0,2,224,0,8,2,241,2,0,2,0,0,1
27,6,0,1,192,1,28,6,1076,17,0,2,0,0,1
25,0,0,2,528,0,14,7,201,1,0,2,0,0,1
34,1,0,2,925,0,13,3,709,1,0,2,1,0,1
54,10,1,1,962,0,29,9,288,3,0,2,1,0,1
30,6,0,2,305,0,4,1,227,2,0,2,0,0,1
42,3,1,1,366,0,22,4,324,1,1,0,1,0,1
36,1,0,1,12264,0,11,9,285,1,2,1,0,0,1
54,0,2,2,5475,0,21,9,1032,1,4,1,0,0,1
40,9,0,2,7968,0,3,8,733,1,1,1,0,0,1
46,7,2,1,0,2,20,5,1023,3,0,2,0,0,1
46,6,1,1,556,2,15,4,646,3,0,2,1,1,1
49,0,1,2,64,2,11,5,586,1,0,2,0,0,1
29,7,0,1,1934,0,29,8,271,1,0,2,0,0,1
62,0,1,2,7458,0,30,9,212,2,0,2,0,0,1
28,9,0,2,497,0,24,6,1602,6,0,2,1,0,1
36,0,1,2,673,0,16,6,689,1,0,2,1,0,1
30,6,0,1,0,0,4,8,316,3,0,2,0,0,1
36,0,1,2,495,0,5,7,157,3,2,1,0,0,1
40,6,0,1,985,0,4,5,592,3,8,0,1,0,1
52,10,1,0,3798,0,17,6,1208,1,0,2,1,0,1
36,0,1,2,255,0,22,4,970,2,2,3,0,0,1
30,11,0,3,4468,0,2,1,204,1,0,2,0,0,1
61,5,2,0,3624,0,25,10,342,1,0,2,0,0,1
33,7,1,1,478,0,30,3,475,2,0,2,0,0,1
27,1,0,1,643,0,13,6,317,1,0,2,0,0,1
44,9,2,2,0,0,5,1,1960,3,0,2,0,0,1
29,1,0,1,674,0,30,3,483,1,5,1,0,0,1
31,3,1,1,1766,0,5,5,166,2,0,2,0,1,1
26,0,0,2,3944,0,14,4,974,2,0,2,1,0,1
66,5,1,0,3629,0,2,1,474,1,2,3,0,0,1
28,8,0,2,4579,0,12,0,409,2,0,2,0,0,1
60,1,1,1,294,1,3,5,206,4,0,2,0,0,1
28,1,0,2,11862,0,21,9,549,2,13,3,0,0,1
40,9,0,2,72,0,30,3,463,1,0,2,0,0,1
43,1,1,1,136,0,25,7,363,7,0,2,0,0,1
60,3,1,0,5,0,29,0,533,1,1,1,0,0,1
45,0,2,2,854,0,8,6,730,1,0,2,0,1,1
61,1,1,1,1191,0,21,4,214,4,0,2,0,0,1
32,1,2,2,3255,0,29,5,167,2,0,2,0,0,1
32,0,0,2,12569,0,1,6,561,2,2,1,0,0,1
38,1,2,1,902,0,3,1,650,1,0,2,1,0,1
32,1,0,1,1732,0,14,7,1871,3,0,2,1,0,1
26,6,0,1,255,0,30,3,457,1,1,1,0,0,1
30,11,0,2,228,0,13,4,314,2,0,2,1,0,1
46,9,1,1,2551,0,12,7,645,2,0,2,0,0,1
36,3,1,0,1925,0,20,3,904,2,0,2,1,0,1
19,11,0,1,329,0,30,3,169,1,2,1,0,0,1
65,5,1,0,308,0,1,8,400,1,0,2,0,0,1
28,3,0,1,524,0,6,4,554,2,0,2,1,0,1
33,3,1,1,139,0,18,4,732,2,5,0,1,1,1
56,6,2,1,1693,0,26,9,238,4,4,0,0,0,1
39,0,1,2,119,0,1,8,265,2,4,1,1,0,1
23,7,0,1,665,2,28,4,1183,1,0,2,1,0,1
44,1,0,1,244,0,12,7,1735,4,0,2,1,0,1
60,7,1,2,4256,0,16,7,239,3,1,3,1,0,1
28,0,0,2,3611,0,26,1,141,2,0,2,0,0,1
39,0,1,2,2939,0,15,0,348,2,0,2,0,0,1
32,0,1,2,8929,0,11,2,126,1,0,2,0,0,1
25,6,0,2,1185,0,7,9,290,1,1,0,0,0,1
49,0,0,2,5689,0,31,7,470,1,3,0,0,0,1
31,0,0,2,9421,0,25,10,372,1,0,2,0,0,1
42,3,2,0,213,0,7,6,434,3,0,2,1,0,1
33,6,0,2,146,0,22,9,380,1,3,1,0,0,1
33,3,1,1,89,0,18,6,278,2,0,2,1,0,1
31,0,0,2,1619,0,30,3,327,2,0,2,0,0,1
43,2,1,1,104,0,18,6,635,3,0,2,1,0,1
18,11,0,3,108,0,8,8,169,1,0,2,0,0,1
85,5,2,0,7613,0,18,1,355,3,0,2,0,0,1
45,0,1,2,212,0,21,3,65,2,0,2,0,0,1
63,1,1,1,973,0,25,1,318,1,1,1,0,0,1
36,1,0,1,125,0,15,4,676,3,0,2,1,0,1
25,11,0,1,154,0,2,8,382,1,3,1,0,0,1
30,0,0,2,12857,0,6,10,150,1,0,2,1,0,1
27,11,0,1,538,0,4,5,124,2,0,2,0,0,1
54,0,2,2,-449,0,14,4,691,1,0,2,1,0,1
34,6,1,2,69,0,3,7,263,3,3,1,0,1,1
36,1,1,2,4596,0,16,3,901,2,0,2,1,0,1
54,1,2,1,859,0,21,6,710,1,0,2,0,1,1
38,8,0,2,1612,0,8,4,423,1,0,2,1,0,1
27,1,0,1,204,0,28,6,471,2,0,2,0,0,1
29,10,0,2,19,0,5,1,110,2,2,1,0,0,1
27,11,0,2,0,0,5,2,82,3,0,2,0,0,1
47,6,2,1,295,2,6,5,94,2,0,2,1,0,1
48,0,2,2,2263,0,29,6,874,2,0,2,0,0,1
58,0,2,1,3161,1,30,6,542,2,0,2,0,0,1
37,9,1,1,1978,0,11,2,335,1,0,2,0,0,1
46,8,1,2,2421,0,19,10,1084,1,4,0,0,0,1
29,3,0,1,2,0,21,3,379,5,0,2,1,1,1
29,1,1,1,95,0,3,1,172,3,0,2,0,1,1
25,11,0,1,348,0,10,7,245,1,0,2,0,0,1
46,3,2,0,219,0,21,10,729,1,0,2,1,0,1
41,7,1,1,803,0,9,3,592,4,3,0,1,0,1
32,3,1,0,1644,0,7,8,492,3,5,3,0,0,1
38,1,1,2,4383,0,4,1,1381,4,0,2,0,0,1
34,6,2,1,661,0,5,7,245,2,10,0,1,0,1
43,6,1,1,132,0,27,4,187,2,1,1,0,0,1
44,1,0,2,2033,0,3,8,444,1,1,0,0,0,1
72,5,1,0,1388,1,20,9,513,1,0,2,0,0,1
57,6,1,1,6005,0,8,4,704,1,6,0,1,0,1
35,1,0,2,13460,0,15,4,1068,3,0,2,1,0,1
26,1,0,2,15161,0,2,1,280,1,0,2,0,0,1
32,3,0,0,12198,0,18,4,178,1,0,2,1,0,1
33,0,1,2,5878,0,23,9,438,1,2,0,0,0,1
61,0,0,2,2,0,12,7,131,1,3,0,0,0,1
29,3,0,1,734,0,30,3,259,1,1,3,1,1,1
41,6,1,1,3138,0,14,8,409,1,1,0,0,0,1
49,7,1,1,202,0,17,10,651,2,1,0,1,0,1
24,6,0,2,-61,0,11,2,95,4,0,2,0,0,1
56,0,1,0,870,0,14,4,220,1,1,1,0,0,1
35,6,2,1,1224,0,3,10,187,1,0,2,1,0,1
59,9,1,1,957,0,9,11,479,2,0,2,0,0,1
29,1,1,1,2326,0,6,2,195,1,0,2,0,0,1
30,0,0,2,3384,0,4,5,578,2,0,2,0,0,1
21,11,0,0,8278,0,29,9,445,1,0,2,0,0,1
32,0,0,2,2915,0,8,8,519,1,2,0,0,0,1
43,0,2,2,2367,0,1,5,114,1,2,3,0,0,1
30,3,1,1,501,0,20,10,994,1,1,0,1,1,1
56,1,2,1,146,0,5,7,419,3,0,2,1,0,1
26,7,0,2,12,0,14,5,563,1,10,0,0,0,1
29,10,0,2,19,0,5,1,110,2,2,1,0,0,1
38,0,1,2,238,0,4,7,139,1,3,0,0,0,1
39,3,1,2,597,0,16,6,686,6,0,2,0,0,1
50,7,1,1,320,1,21,11,294,3,4,1,0,0,1
37,0,1,1,565,0,6,7,174,1,3,0,0,0,1
18,11,0,3,348,0,5,4,443,4,0,2,0,0,1
42,8,1,1,1216,0,23,3,296,1,1,0,1,0,1
34,1,0,2,992,0,5,1,71,2,0,2,1,0,1
34,0,1,2,703,0,14,3,342,1,0,2,1,0,1
51,1,1,1,196,0,17,1,88,1,0,2,1,1,1
38,10,2,1,70,0,27,9,255,3,1,1,0,0,1
36,1,0,1,376,0,13,7,479,1,0,2,0,0,1
26,6,0,2,2532,0,18,1,269,1,0,2,1,1,1
32,0,0,2,12569,0,1,6,561,2,2,1,0,0,1
43,7,1,2,4216,0,24,11,150,2,2,1,0,0,1
42,9,1,3,190,0,11,7,704,2,0,2,0,0,1
57,6,0,1,5768,2,19,5,512,1,0,2,1,0,1
33,1,0,1,2085,0,9,1,501,2,0,2,0,0,1
33,1,0,2,1636,0,4,4,592,1,1,1,1,0,1
25,11,0,1,679,0,25,9,297,5,6,3,0,0,1
55,0,1,2,-375,0,30,6,814,2,0,2,0,0,1
55,10,2,0,77,0,31,6,463,6,0,2,0,0,1
52,3,1,1,7119,1,20,10,871,3,0,2,0,1,1
58,7,2,1,462,0,12,7,332,1,0,2,0,0,1
45,0,2,1,644,0,19,10,418,1,1,1,1,0,1
67,5,1,0,1430,0,11,0,499,2,3,0,0,0,1
49,1,1,1,1684,0,1,5,412,2,0,2,0,1,1
82,5,1,1,121,1,19,1,330,1,0,2,0,0,1
42,0,1,2,27696,0,12,4,176,2,5,1,0,0,1
54,1,0,2,467,0,18,6,674,3,0,2,1,0,1
39,8,1,2,2630,2,12,5,651,5,0,2,0,0,1
79,5,1,1,668,1,2,6,363,1,0,2,0,0,1
57,0,1,2,1227,0,5,5,232,1,0,2,0,0,1
33,0,0,2,3161,0,2,3,313,3,0,2,1,0,1
59,5,1,2,148,0,8,4,685,2,1,3,1,1,1
71,5,2,0,275,0,14,5,293,1,1,1,0,0,1
29,9,0,1,25,0,14,3,207,2,0,2,0,0,1
45,6,1,1,1206,1,8,1,309,1,3,0,0,0,1
46,7,1,1,4,0,30,3,268,1,5,3,0,0,1
25,2,0,2,347,0,20,7,267,1,0,2,0,0,1
27,11,0,1,111,0,7,6,495,2,0,2,0,0,1
39,0,0,2,307,0,22,4,182,2,0,2,0,0,1
63,6,1,1,0,0,31,7,253,5,0,2,1,0,1
36,10,0,1,1015,0,18,4,1008,1,2,1,1,0,1
35,7,1,1,2918,0,16,6,815,2,3,1,0,1,1
36,6,1,1,96,0,2,1,302,1,0,2,0,0,1
54,2,2,3,4736,1,6,3,475,6,5,0,1,0,1
40,6,1,1,341,0,31,6,1142,5,0,2,0,0,1
33,6,1,1,82,0,25,6,735,1,0,2,1,0,1
44,8,1,3,163,0,4,4,364,3,0,2,1,0,1
46,3,1,0,369,2,13,4,916,2,0,2,1,0,1
32,7,0,1,-198,2,21,4,681,3,0,2,1,0,1
64,5,1,2,846,0,11,1,671,1,3,0,0,0,1
32,1,0,2,4665,2,21,4,860,2,0,2,1,0,1
54,0,1,2,8295,0,5,5,207,1,0,2,0,0,1
57,9,1,1,3754,0,5,1,1063,2,0,2,0,0,1
26,11,0,1,620,0,17,1,104,1,0,2,0,0,1
36,3,1,1,1193,0,30,9,640,1,0,2,0,0,1
45,3,2,0,-311,2,23,4,1030,1,0,2,1,0,1
33,1,0,2,317,0,4,5,323,1,14,3,1,0,1
42,6,2,1,2129,0,13,7,633,1,2,3,0,0,1
61,1,1,1,1191,0,21,4,214,4,0,2,0,0,1
34,0,1,2,158,0,9,5,190,1,9,1,0,0,1
38,10,0,1,465,0,16,2,180,1,3,1,1,0,1
52,9,1,1,94,0,10,10,293,3,10,0,0,0,1
66,5,1,1,154,0,15,6,268,5,2,0,0,0,1
41,0,0,2,11008,2,18,5,1540,1,0,2,0,0,1
34,0,0,2,5086,0,25,4,213,4,0,2,0,0,1
51,3,1,1,2007,0,12,7,1226,3,0,2,1,0,1
35,10,1,0,113,0,17,6,923,2,0,2,1,0,1
32,1,0,2,5514,1,22,9,181,1,0,2,0,0,1
36,1,1,1,368,2,6,4,1597,2,0,2,1,1,1
38,0,1,3,3576,0,26,4,579,1,0,2,0,0,1
26,7,1,1,77,0,15,4,619,1,4,0,1,0,1
64,0,1,2,3951,0,28,0,134,1,1,1,0,0,1
66,5,1,1,203,0,18,0,353,1,1,1,0,0,1
60,0,1,2,474,0,31,7,415,5,3,3,0,0,1
61,5,1,2,2557,0,10,10,89,1,4,1,1,0,1
32,6,0,1,678,0,4,1,1579,1,4,0,1,0,1
34,1,1,1,1,0,28,7,535,2,0,2,0,0,1
33,3,0,1,-416,2,16,4,767,2,0,2,1,0,1
83,5,2,0,1097,1,5,2,181,1,0,2,0,0,1
42,0,0,2,7560,0,28,0,132,1,0,2,0,0,1
43,9,1,2,0,0,18,9,464,1,2,1,0,0,1
38,10,0,1,465,0,16,2,180,1,3,1,1,0,1
35,0,2,2,0,1,29,9,171,1,0,2,1,0,1
78,5,1,3,3208,1,20,4,351,3,0,2,0,0,1
37,1,1,3,189,0,16,5,162,2,0,2,0,0,1
29,0,1,2,1387,0,18,4,256,2,0,2,1,0,1
42,9,1,3,190,0,11,7,704,2,0,2,0,0,1
33,1,0,1,163,0,20,7,627,2,0,2,1,0,1
75,5,1,0,1765,1,14,8,808,1,4,0,0,0,1
29,1,0,1,706,0,18,4,1340,1,0,2,1,0,1
65,5,2,1,828,0,13,6,305,1,0,2,0,0,1
80,5,1,1,668,1,8,6,250,1,1,1,0,0,1
34,1,1,1,1,0,28,7,535,2,0,2,0,0,1
46,8,1,2,2421,0,19,10,1084,1,4,0,0,0,1
77,5,1,1,638,0,11,1,288,1,1,1,0,0,1
22,11,0,2,691,0,19,7,338,1,0,2,0,0,1
38,0,1,2,613,0,3,1,239,1,0,2,0,0,1
24,11,0,1,822,0,27,9,184,1,2,0,0,0,1
63,1,1,1,896,0,14,7,276,2,0,2,1,0,1
55,7,1,3,2944,0,27,7,672,6,0,2,0,0,1
29,0,0,2,2753,0,30,3,645,1,0,2,0,0,1
61,5,1,1,2917,0,6,9,215,1,0,2,0,0,1
37,7,1,1,2678,0,25,2,156,1,0,2,0,0,1
32,1,0,1,1995,0,20,3,121,1,0,2,1,0,1
24,1,1,1,556,0,18,7,460,2,0,2,1,0,1
32,1,1,1,473,0,7,4,292,3,0,2,0,1,1
37,1,0,1,4,0,11,7,933,1,0,2,0,0,1
33,0,1,2,55,0,30,3,526,2,3,0,0,0,1
50,0,1,0,313,1,14,9,958,1,0,2,0,0,1
73,5,1,2,448,0,24,2,136,1,0,2,0,0,1
46,1,1,1,2149,0,15,3,282,2,0,2,1,0,1
28,0,0,2,187,0,9,2,295,1,0,2,0,0,1
38,1,0,1,1711,0,20,3,379,3,1,1,0,0,1
29,0,0,2,874,0,16,2,231,1,2,1,1,0,1
36,8,0,2,4844,2,9,5,1137,3,0,2,0,0,1
24,11,0,1,4126,0,5,3,907,4,7,0,0,0,1
28,0,0,2,1808,0,30,3,309,1,0,2,0,0,1
31,1,0,2,882,0,3,5,411,1,0,2,0,0,1
32,7,0,2,945,0,20,10,531,1,0,2,0,0,1
42,7,1,2,4216,0,12,5,186,2,0,2,0,0,1
33,0,0,2,2364,0,17,4,508,1,0,2,0,0,1
38,0,0,2,623,0,28,5,297,4,4,3,0,0,1
49,1,1,2,3726,0,5,7,875,2,0,2,0,0,1
29,1,0,1,825,0,25,5,472,2,0,2,0,0,1
39,1,2,1,902,0,10,1,691,2,5,0,1,0,1
38,10,0,1,465,0,16,2,180,1,3,1,1,0,1
33,1,0,2,1636,0,27,1,165,1,0,2,1,0,1
43,0,0,2,2081,0,22,9,554,3,0,2,0,0,1
46,0,2,2,624,0,18,2,420,1,1,3,0,0,1
35,0,1,2,2717,0,13,7,394,6,0,2,0,0,1
35,3,1,1,698,2,30,4,1343,3,0,2,1,1,1
55,10,2,0,77,0,31,6,463,6,0,2,0,0,1
31,0,1,2,156,0,13,7,657,7,0,2,0,0,1
26,11,0,1,4613,0,28,4,663,3,2,3,0,0,1
44,1,0,2,643,0,16,9,324,1,3,0,0,0,1
32,1,1,1,660,0,25,9,226,2,1,0,0,0,1
47,10,1,1,3940,0,5,7,226,3,2,0,1,0,1
24,6,0,1,1295,0,22,6,355,2,1,1,0,0,1
38,1,1,1,5115,0,2,5,318,1,7,1,1,0,1
45,0,2,2,854,0,8,6,730,1,0,2,0,1,1
35,8,0,2,353,0,11,1,352,1,1,1,0,0,1
70,5,1,1,0,0,27,9,258,1,5,1,0,0,1
64,5,2,0,109,0,23,5,706,1,2,1,0,0,1
76,10,2,0,1411,1,19,9,233,2,3,1,0,0,1
59,5,1,0,3648,1,23,9,257,2,3,1,0,0,1
27,11,0,1,213,0,27,2,378,1,0,2,0,0,1
69,5,2,1,4572,1,27,9,146,2,1,3,0,0,1
32,6,1,1,1604,0,7,6,625,1,0,2,0,1,1
30,6,1,1,8781,0,18,10,898,1,0,2,1,0,1
22,11,0,1,948,1,25,1,169,1,3,1,0,0,1
30,3,0,1,953,2,2,5,747,2,0,2,1,0,1
50,0,1,2,346,0,6,1,178,1,0,2,0,0,1
60,5,1,2,108,0,26,7,624,1,0,2,0,0,1
34,1,1,1,0,0,3,7,261,1,2,0,1,0,1
49,0,1,1,1623,0,19,10,1081,2,0,2,1,0,1
26,1,0,1,941,0,25,6,784,1,0,2,0,1,1
58,0,1,1,2155,0,11,7,248,2,7,1,0,1,1
66,10,1,0,40,1,14,9,290,2,0,2,0,0,1
41,3,1,0,246,2,19,5,683,3,0,2,0,0,1
30,3,1,1,2493,0,28,0,293,2,0,2,0,0,1
55,7,1,1,2476,2,5,4,579,1,0,2,1,0,1
33,6,1,1,82,0,25,6,735,1,0,2,1,0,1
45,0,1,1,446,0,6,7,304,3,0,2,0,0,1
59,5,2,1,514,0,4,4,673,6,1,1,0,0,1
38,3,0,1,2580,0,8,3,1691,2,3,0,1,0,1
45,8,1,1,7,0,20,10,691,1,0,2,0,0,1
37,0,0,2,698,0,8,8,1081,2,0,2,0,0,1
25,1,0,1,0,0,8,6,634,1,0,2,0,1,1
33,3,0,2,700,0,30,3,169,1,2,1,0,0,1
36,0,0,2,436,0,13,3,567,1,2,0,0,0,1
18,11,0,3,108,0,8,8,169,1,0,2,0,0,1
54,9,2,1,309,0,20,3,241,1,0,2,0,0,1
59,0,1,2,5397,0,23,8,244,1,3,1,0,0,1
52,6,0,3,2227,0,24,1,242,2,0,2,0,0,1
46,10,2,0,2084,0,18,6,1081,2,0,2,1,0,1
42,3,0,0,4930,2,18,5,973,1,0,2,0,0,1
34,0,1,2,2037,0,15,11,324,2,0,2,0,0,1
74,5,1,0,670,0,23,3,266,5,0,2,0,0,1
43,9,0,2,983,0,26,1,97,1,0,2,1,0,1
35,3,1,1,860,2,5,5,884,4,0,2,1,0,1
36,3,2,0,-308,0,12,4,725,1,0,2,1,0,1
29,0,0,2,572,0,4,5,224,1,0,2,0,0,1
36,1,0,1,1228,0,4,4,303,3,0,2,1,0,1
43,0,2,2,2367,0,22,8,83,1,3,1,0,0,1
44,1,0,1,244,0,12,7,1735,4,0,2,1,0,1
27,0,0,2,-69,0,15,1,205,3,0,2,1,0,1
32,8,0,2,0,0,6,4,767,1,0,2,1,0,1
54,9,0,1,380,0,17,10,696,2,0,2,0,0,1
58,8,1,2,5810,0,12,2,139,1,0,2,0,0,1
26,7,0,1,901,2,26,4,764,2,0,2,1,0,1
53,9,1,1,94,0,10,7,493,1,14,1,0,0,1
29,8,1,1,425,2,5,5,562,15,0,2,1,0,1
32,3,1,0,415,2,2,5,777,4,0,2,1,0,1
32,0,0,2,935,0,10,7,161,2,5,0,0,0,1
39,8,1,2,2630,2,12,5,651,5,0,2,0,0,1
47,0,1,2,3663,0,30,2,364,3,0,2,0,0,1
47,0,0,2,86,0,30,3,387,3,1,1,0,0,1
29,11,0,3,10332,0,2,10,46,3,0,2,0,0,1
27,4,0,3,326,0,22,1,326,1,0,2,0,0,1
34,6,1,1,869,2,6,4,1677,1,0,2,0,0,1
67,5,1,3,2540,1,14,8,279,3,9,1,0,0,1
47,3,1,1,1568,0,21,4,226,3,8,1,1,0,1
43,0,0,2,2081,0,22,9,554,3,0,2,0,0,1
35,0,1,2,867,2,2,5,230,3,0,2,1,0,1
35,0,1,2,62,0,7,4,226,2,4,1,0,0,1
36,3,1,0,378,0,5,4,1240,1,0,2,1,0,1
41,9,1,1,0,0,5,4,400,1,0,2,1,1,1
34,0,1,2,611,0,2,5,350,1,0,2,0,0,1
26,3,0,1,311,0,7,4,798,2,0,2,1,0,1
32,6,0,1,131,0,21,11,322,1,1,1,1,0,1
30,6,1,1,1794,0,20,10,1035,1,0,2,0,0,1
49,1,1,2,1071,0,16,8,225,1,1,1,0,0,1
39,6,0,1,2345,0,8,4,491,2,2,0,1,0,1
30,1,1,1,-393,0,16,6,435,1,0,2,1,1,1
38,1,1,1,6728,0,25,10,232,1,4,1,0,0,1
28,3,0,0,54,0,14,4,533,1,1,3,1,0,1
34,1,0,1,1279,0,22,6,174,2,8,3,1,0,1
29,1,0,2,0,0,7,4,347,2,6,0,1,0,1
48,10,0,0,46,0,3,7,113,2,1,0,0,0,1
79,5,1,0,3025,0,11,11,166,3,3,3,0,0,1
42,3,1,1,413,0,11,1,456,2,2,1,1,0,1
24,3,0,1,167,0,25,4,288,1,2,1,0,1,1
43,0,1,2,1258,2,20,9,312,1,0,2,0,0,1
38,1,1,1,497,2,14,3,173,1,0,2,0,0,1
44,1,1,1,267,0,22,7,520,2,0,2,0,0,1
32,1,0,2,6746,0,11,10,199,1,0,2,0,0,1
36,10,0,1,1015,0,18,4,1008,1,2,1,1,0,1
33,0,0,2,2364,0,17,4,508,1,0,2,0,0,1
25,11,0,0,373,0,11,4,819,2,0,2,1,0,1
33,1,1,2,1699,0,6,10,178,2,1,1,0,0,1
37,1,1,1,480,0,22,9,344,2,8,3,0,0,1
64,5,1,3,679,1,16,10,167,1,0,2,0,0,1
40,1,0,2,1175,0,14,3,184,1,0,2,0,0,1
32,0,1,2,376,0,23,2,248,4,0,2,1,0,1
31,1,1,2,636,0,4,4,352,4,0,2,1,0,1
42,9,1,3,970,1,21,6,691,10,0,2,1,0,1
28,9,1,2,482,0,25,4,119,1,0,2,0,0,1
36,1,1,2,4596,0,8,9,234,2,2,1,1,0,1
49,3,1,1,-454,0,14,4,558,1,0,2,1,0,1
60,5,2,1,-639,0,15,4,585,1,0,2,1,0,1
35,3,1,1,5639,0,20,10,945,2,0,2,1,0,1
68,5,2,0,250,0,3,1,360,1,0,2,0,0,1
39,1,1,2,94,2,16,4,813,1,0,2,1,1,1
57,0,1,2,-92,2,20,5,1617,1,0,2,1,1,1
63,0,1,2,2785,0,2,7,341,2,3,1,0,0,1
40,3,1,0,278,2,23,4,1015,3,0,2,1,0,1
53,1,1,1,1982,0,27,10,160,1,0,2,1,1,1
40,0,1,2,2763,0,2,6,566,1,2,1,1,0,1
67,5,1,1,2048,0,16,8,452,5,4,3,0,0,1
26,3,0,1,2007,0,13,6,272,3,2,1,0,0,1
21,11,0,0,423,0,8,3,104,5,0,2,0,0,1
38,1,1,1,1919,0,4,7,846,1,0,2,0,0,1
53,6,1,1,3765,2,20,5,1094,3,0,2,0,0,1
37,7,1,1,4017,0,16,9,156,1,0,2,0,0,1
81,5,2,1,452,1,16,11,443,1,0,2,0,0,1
43,6,1,1,132,0,19,7,574,1,3,1,0,0,1
